,count
idiota,97
ladrão,84
burro,60
viado,56
nordestino,48
estranho,46
luladrão,44
claro,42
imbecil,39
homem,37
esquerdista,31
coisas,30
puta,27
burra,27
mulher,26
gay,23
liberdade,23
inferno,20
retardado,20
burros,18
justiça,18
idiotas,17
macumba,16
analfabeto,16
terra,16
esquerdopata,14
bolsopetista,14
muda,13
petralha,13
amarelo,13
gado,13
deus,12
criado,11
nova,11
fanático,10
demônio,10
doente,10
diabo,10
velha,9
ruim,9
ditadura,9
santo,9
cego,9
branco,9
satanás,8
sangue,8
vadia,8
doido,8
louca,8
esquerdalha,8
incapaz,7
exorcismo,7
pele,7
traficante,7
lulaladrão,7
socialista,7
louco,7
cão,7
macumbeiro,7
conservador,7
cor,6
nordestina,6
fogo,6
baiano,6
mamata,6
bolsominion,6
cheio,5
suja,5
sujo,5
enorme,5
bozo,5
expulsar,5
traidor,5
lulista,5
bicha,4
crente,4
cheia,4
apoiador,4
especial,4
ditador,4
moleque,4
juventude,4
pecado,4
magia,3
seguidor,3
maligno,3
nego,3
terrorista,3
travesti,3
bode,3
neutro,3
militonto,3
lacrador,3
injustiça,3
gorda,3
infernos,3
deuses,3
alienado,3
umbanda,3
negra,3
terreiro,3
esclarecer,3
viados,3
preto,3
mudo,3
ativo,2
loira,2
gays,2
grelo,2
incubado,2
baitola,2
santos,2
todes,2
mocinha,2
traveco,2
burras,2
china,2
porco,2
cabelo,2
duro,2
bixa,2
neoliberal,2
mortadela,2
atrasado,2
coronel,2
espiritismo,2
infantil,2
acabado,2
escravo,2
doença,2
loucos,2
enrustido,2
cheias,2
boçal,2
incapazes,2
norte,2
santa,2
preta,2
ritual,2
idolatrar,1
blasfêmia,1
candomblé,1
rituais,1
desviados,1
trindade,1
pecam,1
virgem,1
maligna,1
santificado,1
aberração,1
marica,1
ultrapassado,1
branca,1
brancos,1
branquinho,1
claros,1
denegrir,1
inveja,1
nega,1
negras,1
novinho,1
veterano,1
sotaque,1
babão,1
esquerda*,1
genocida,1
globalista,1
mama,1
marxista,1
petebas,1
ptralha,1
sociopata,1
tabaca,1
noroeste,1
puto,1
golpista,1
viadagem,1
viadinho,1
amarela,1
atirada,1
bandida,1
bruxa,1
cadela,1
estuprada,1
frágeis,1
mulherzinha,1
inferiores,1
múmia,1
piranha,1
prostituta,1
provocando,1
sensível,1
vaca,1
alienígena,1
pesado,1
estranhas,1
estranha,1
zumbi,1
doentia,1
imbecilidade,1
aleijado,1
doida,1
deficiências,1
anormal,1
deficiência,1
esquisito,1
mongol,1
elefante,1
deformado,1
surtada,1
fofo,1
enormes,1
excesso,1
retardada,1
retardados,1
defeitos,1
cheios,1
cegos,1
barriga,1
aberrações,1
demência,1
demente,1
criado-mudo*,0
doentio,0
lento,0
lenta*,0
exótica,0
nômade,0
paraíbas,0
lerdas,0
pau-de-arara,0
refugiada,0
refugiado,0
escrava,0
lenta,0
subdesenvolvido,0
lerda,0
jeca,0
mocorongo,0
incapacidade,0
invasora,0
invasor,0
favelado,0
lerdo,0
inferior,0
gibi,0
inadaptado,0
imigrante,0
ilegal,0
ilegais,0
gentinha,0
humor,0
gentalha,0
sururu,0
