dataset,abordagem,configuracao,modelo,n_features,time_seconds,f1_score,f1_std
PrejudiceWhatsApp-br,BoW,BoW Unigram,LogisticRegression,10924,319.2,0.863,0.00
PrejudiceWhatsApp-br,TF-IDF,TF-IDF Bigram,GradientBoosting,72560,944.0,0.868,0.01
PrejudiceWhatsApp-br,BoW + Categories of PrejudicePt-br,BoW Trigram,LinearSVC,153813,1446.0,0.860,0.01
PrejudiceWhatsApp-br,TF-IDF + Categories of PrejudicePt-br,TF-IDF Trigram,GradientBoosting,153813,1603.3,0.866,0.00
PrejudiceWhatsApp-br,BoW + Words of PrejudicePt-br,BoW Bigram,LogisticRegression,73402,849.4,0.865,0.02
PrejudiceWhatsApp-br,TF-IDF + Words of PrejudicePt-br,TF-IDF Unigram,SGDClassifier,13381,312.8,0.876,0.01
PrejudiceWhatsApp-br,Categories of PrejudicePt-br,Categories,GradientBoosting,9,5.7,0.733,0.04
PrejudiceWhatsApp-br,Words of PrejudicePt-br,Words,LinearSVC,842,34.71,0.812,0.03
PrejudiceWhatsApp-br,Bert Embeddings, TupiBERTBase, LogisticRegression, 0, 1359.3, 0.855, 0.02 
PrejudiceWhatsApp-br, LLM's, Role-Prompting, DeepSeek-V3-2, 0, 167, 0.853, 0
PrejudiceTelegram-br,BoW,BoW Unigram,GradientBoosting,14491,313.0,0.860,0.00
PrejudiceTelegram-br,TF-IDF,TF-IDF Bigram,GradientBoosting,102297,954.8,0.855,0.00
PrejudiceTelegram-br,BoW + Categories of PrejudicePt-br,BoW Trigram,GradientBoosting,222563,2134.6,0.857,0.00
PrejudiceTelegram-br,TF-IDF + Categories of PrejudicePt-br,TF-IDF Trigram,GradientBoosting,222563,2231.8,0.851,0.00
PrejudiceTelegram-br,BoW + Words of PrejudicePt-br,BoW Trigram,GradientBoosting,17204,247.9,0.856,0.00
PrejudiceTelegram-br,TF-IDF + Words of PrejudicePt-br,TF-IDF Trigram,GradientBoosting,223396,3458.6,0.851,0.01
PrejudiceTelegram-br,Categories of PrejudicePt-br,Categories,RandomForest,9,5.8,0.640,0.02
PrejudiceTelegram-br,Words of PrejudicePt-br,Words,MultinomialNB,842,24.8,0.713,0.02
PrejudiceTelegram-br, Bert Embeddings, HateBR, LogisticRegression, 0, 0.807, 0.01
PrejudiceTelegram-br, LLMs, Role-Prompting, Deepseek-V3-2, 0, 0.821, 0
