,BoW,TF-IDF,BoW + Dic9,BoW + Dic842,TF-IDF + Dic9,TF-IDF + Dic842,Dic9,Dic842,BERT,LLM
BoW,1.0,0.9894965151391509,0.9999999027828681,0.9999069918864238,0.9894965151391509,0.9795271840478617,0.1671839750715305,0.46127020871535485,0.8642847841861335,0.9635098457675177
TF-IDF,0.9894965151391509,1.0,0.9988161520470857,0.9999831711420873,1.0,0.9999999999731709,0.006553981381986929,0.03983258309615856,0.21213222208188354,0.3902438295880487
BoW + Dic9,0.9999999027828681,0.9988161520470857,1.0,0.9999995116728577,0.9988161520470857,0.9968569822703968,0.0857264241698249,0.2935274465176858,0.7175542810192201,0.8868429566164409
BoW + Dic842,0.9999069918864238,0.9999831711420873,0.9999995116728577,1.0,0.9999831711420873,0.9999069918864238,0.033788514936361924,0.14748188711342436,0.4980665270459208,0.7175542810192201
TF-IDF + Dic9,0.9894965151391509,1.0,0.9988161520470857,0.9999831711420873,1.0,0.9999999999731709,0.006553981381986929,0.03983258309615856,0.21213222208188354,0.3902438295880487
TF-IDF + Dic842,0.9795271840478617,0.9999999999731709,0.9968569822703968,0.9999069918864238,0.9999999999731709,1.0,0.004386239878904852,0.028557251598949285,0.1671839750715305,0.32421184595254693
Dic9,0.1671839750715305,0.006553981381986929,0.0857264241698249,0.033788514936361924,0.006553981381986929,0.004386239878904852,1.0,0.999958510388885,0.9795271840478617,0.906921312677427
Dic842,0.46127020871535485,0.03983258309615856,0.2935274465176858,0.14748188711342436,0.03983258309615856,0.028557251598949285,0.999958510388885,1.0,0.9998073945766713,0.9951533809750363
BERT,0.8642847841861335,0.21213222208188354,0.7175542810192201,0.4980665270459208,0.21213222208188354,0.1671839750715305,0.9795271840478617,0.9998073945766713,1.0,0.9999995116728577
LLM,0.9635098457675177,0.3902438295880487,0.8868429566164409,0.7175542810192201,0.3902438295880487,0.32421184595254693,0.906921312677427,0.9951533809750363,0.9999995116728577,1.0
