,BoW,TF-IDF,BoW + Dic9,BoW + Dic842,TF-IDF + Dic9,TF-IDF + Dic842,Dic9,Dic842,BERT,LLM
BoW,1.0,0.999999986661343,0.9999995116728577,0.9635098457675177,0.9999939246194365,0.9998073945766713,0.074109422541629,0.3902438295880484,0.46127020871535507,0.9894965151391509
TF-IDF,0.999999986661343,1.0,0.9999999999731709,0.9069213126774273,0.9998073945766713,0.9980325918991122,0.12956261348226739,0.535341866931586,0.6100623741520101,0.9980325918991122
BoW + Dic9,0.9999995116728577,0.9999999999731709,1.0,0.8642847841861339,0.9993185956499216,0.9951533809750363,0.1671839750715305,0.6100623741520101,0.6827805614729241,0.9993185956499216
BoW + Dic842,0.9635098457675177,0.9069213126774273,0.8642847841861339,1.0,0.9980325918991122,0.9998073945766713,0.0007750628898886003,0.014062183180868382,0.020180796832924175,0.3902438295880487
TF-IDF + Dic9,0.9999939246194365,0.9998073945766713,0.9993185956499216,0.9980325918991122,1.0,0.999999986661343,0.020180796832924175,0.1671839750715306,0.21213222208188331,0.906921312677427
TF-IDF + Dic842,0.9998073945766713,0.9980325918991122,0.9951533809750363,0.9998073945766713,0.999999986661343,1.0,0.009664928018756513,0.09877447099131509,0.12956261348226739,0.8119396141667593
Dic9,0.074109422541629,0.12956261348226739,0.1671839750715305,0.0007750628898886003,0.020180796832924175,0.009664928018756513,1.0,0.9993185956499216,0.9980325918991122,0.6100623741520105
Dic842,0.3902438295880484,0.535341866931586,0.6100623741520101,0.014062183180868382,0.1671839750715306,0.09877447099131509,0.9993185956499216,1.0,0.9999999999731709,0.9635098457675177
BERT,0.46127020871535507,0.6100623741520101,0.6827805614729241,0.020180796832924175,0.21213222208188331,0.12956261348226739,0.9980325918991122,0.9999999999731709,1.0,0.9795271840478617
LLM,0.9894965151391509,0.9980325918991122,0.9993185956499216,0.3902438295880487,0.906921312677427,0.8119396141667593,0.6100623741520105,0.9635098457675177,0.9795271840478617,1.0
