model,wpp_mean_f1,wpp_std_f1,telegram_mean_f1,telegram_std_f1,statistic,p_value,significant
Dic9,0.726419237973197,0.015004723345438583,0.6332961508170258,0.029590053727289723,0.0,0.0625,False
Dic842,0.8132919061709203,0.01807012516251779,0.7063828552687921,0.015109866578894765,0.0,0.0625,False
TF-IDF + Dic9,0.8690954144258297,0.014552935667562916,0.8577275657641797,0.01062776757697166,0.0,0.0625,False
LLM,0.853781512605042,0.0,0.821875,0.0,0.0,0.0625,False
TF-IDF + Dic842,0.878068082901124,0.01098823110448509,0.8585294934237282,0.012330022866868393,1.0,0.125,False
BoW + Dic842,0.8777610815584385,0.013134259388639607,0.8539854065103987,0.011319717313095013,1.0,0.125,False
TF-IDF,0.8651156706885098,0.012679291402027951,0.8571416541249052,0.008062351134450804,2.0,0.1875,False
BoW,0.8689852291940994,0.013767976516767469,0.8526501927655218,0.010529707214762204,2.0,0.1875,False
BoW + Dic9,0.8650202268158831,0.01625711064400449,0.8540539694797037,0.014114090709148711,4.0,0.4375,False
BERT,0.8136000000000001,0.012300406497347921,0.8074,0.015598076804529428,6.0,0.8125,False
